protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
jgi|Aurli1|42896|fgenesh1_kg.3_#_154_#_isotig03977,jgi|Aurli1|42896|fgenesh1_kg.3_#_154_#_isotig03977,653042.1484,233016.8309,381858.5239,732280,310592.1992,498009.2275,970755.4851,379616.112,621831.7661,855484.0385,373713.1705,587919.7624,835886.6666,332384.7412,524772.999
jgi|Aurli1|42910|fgenesh1_kg.3_#_168_#_isotig06481,jgi|Aurli1|42910|fgenesh1_kg.3_#_168_#_isotig06481,152183.6332,390141.8739,488728.9308,160180,373755.309,494953.1007,149251.8438,349373.8612,493751.9767,168370.3106,363640.4994,481535.1775,174732.984,372870.1052,511706.4362
jgi|Aurli1|42915|fgenesh1_kg.3_#_173_#_isotig06383,jgi|Aurli1|42915|fgenesh1_kg.3_#_173_#_isotig06383,1406310.64,1118066.171,1272050.865,2021300,1589573.721,1836464.949,2082702.983,1583547.958,1813844.777,2142204.307,1637436.714,1815134.798,2027560.138,1512899.609,1725985.694
jgi|Aurli1|42920|fgenesh1_kg.3_#_178_#_isotig03287,jgi|Aurli1|42920|fgenesh1_kg.3_#_178_#_isotig03287,1114374.094,1199682.294,1444657.907,930210,1028014.352,1233141.359,927731.0609,994818.3208,1235448.961,853134.3085,931255.0993,1156037.199,911531.2349,1047913.439,1273326.744
jgi|Aurli1|42929|fgenesh1_kg.3_#_187_#_isotig00467,jgi|Aurli1|42929|fgenesh1_kg.3_#_187_#_isotig00467,411657.85,1133194.102,1785227.853,376780,1010767.442,1468451.503,309066.5124,878731.0522,1225771.522,295812.7804,797568.7606,1103909.105,265338.1712,793691.3039,1098375.501
jgi|Aurli1|42941|fgenesh1_kg.3_#_199_#_isotig03184,jgi|Aurli1|42941|fgenesh1_kg.3_#_199_#_isotig03184,1165892.308,2139388.289,1849914.028,1710500,3102768.271,2572491.84,1672753.279,3099712.902,2673561.515,1763816.746,3286020.652,2731286.341,1513771.977,2760770.657,2347598.876
jgi|Aurli1|42950|fgenesh1_kg.3_#_208_#_isotig03102,jgi|Aurli1|42950|fgenesh1_kg.3_#_208_#_isotig03102,444676.3416,371708.2096,493450.4687,472330,468110.6863,664771.4933,519849.468,495335.8369,639858.8108,497342.6433,486521.0614,628406.3464,465070.7506,475627.9818,628290.6229
jgi|Aurli1|42973|fgenesh1_kg.3_#_231_#_isotig05435,jgi|Aurli1|42973|fgenesh1_kg.3_#_231_#_isotig05435,1172429.658,2027422.922,1434263.889,926480,1519994.761,1125433.224,892824.4525,1509850.731,1091131.328,884612.5884,1452754.34,1007390.406,928742.3066,1512415.45,1070650.861
jgi|Aurli1|42994|fgenesh1_kg.3_#_252_#_isotig10995,jgi|Aurli1|42994|fgenesh1_kg.3_#_252_#_isotig10995,193612.8636,177183.5591,193903.7202,224700,203208.0138,224956.498,204559.2967,185713.242,190904.3777,204993.689,196000.3211,183618.3589,203636.6258,193876.5743,184350.403
jgi|Aurli1|42999|fgenesh1_kg.3_#_257_#_isotig02887,jgi|Aurli1|42999|fgenesh1_kg.3_#_257_#_isotig02887,34281.07822,68906.79259,131230.0041,30013,55086.62851,92755.19183,31111.52945,57092.73275,78836.24991,25436.84042,50012.87078,82015.02439,28868.4173,49087.89859,87075.43622
