name_anno,max_exp,max_exp_raw
A0A6S8ENW3,20.17,1253064.25
138485,20.16,1203808.43
3317,20.16,1279467.36
102428,20.16,1412763.84
77040,20.16,1247859.32
47829,20.16,1239420.57
67764,20.15,1290168.93
148352,20.15,1345700
113861,20.15,1168507.58
A0A6S8EJQ3,20.15,1175047.24
140481,20.15,1437206.58
117249,20.15,1361331.7
137653,20.15,1582104.59
142411,20.14,1386513.16
A0A6S8FI21,20.14,1253606.65
141479,20.14,1432872.23
583,20.14,1398551.71
48165,20.14,1217148.72
136478,20.14,1215853.44
139652,20.14,1250397.07
48626,20.14,1430350.34
137897,20.14,1250280.28
141314,20.13,1340892.39
140207,20.13,1395488.94
96053,20.13,1290332.4
47310,20.13,1353750.5
140344,20.13,1521393.85
139272,20.12,1371474.21
43941,20.12,1260197.95
142911,20.12,1251976.38
136678,20.12,1339870.49
141206,20.12,1533137.45
140342,20.12,1208556.5
138602,20.12,1314900
3947,20.11,1162473.09
75453,20.11,1284323.64
107122,20.11,1318014.69
137518,20.11,1263249.54
47088,20.1,1186457.49
137534,20.1,1250716.62
140578,20.1,1337514.55
43130,20.1,1263789.81
47878,20.1,1248400
73555,20.09,1168390.19
81136,20.09,1500393.38
44177,20.09,1184838.4
42510,20.09,1204746.42
44694,20.09,1298778.77
80525,20.09,1252300
105607,20.09,1305699.34
7656,20.08,1216132.3
40261,20.08,1307462.65
138002,20.08,1335000
43171,20.08,1279124.02
44292,20.07,1462210.57
137401,20.07,1243291.88
47687,20.07,1189943.02
114574,20.07,1152168.85
141515,20.06,1440974.72
1874,20.05,1291476.75
136600,20.05,1196186.44
A0A6S8D2A7,20.05,1112200
140287,20.05,1131072.25
36519,20.05,1232372.91
110557,20.05,1125846.42
45316,20.05,1284193.27
142059,20.05,1295829
46689,20.05,1570503.37
A0A6S8BK84,20.05,1531989.65
140355,20.05,1134506.64
47875,20.05,1195242.66
48743,20.05,1088341.63
60527,20.04,1127855.23
85644,20.04,1236111.44
1281,20.04,1137676.49
140799,20.04,1219328.43
140798,20.04,1257045.51
41654,20.04,1285646.12
42396,20.03,1204376.22
